"sampleID"	"Channel"	"probdiff"	"mu_m"	"mu_c"	"tau_m"	"tau_c"	"tau_norm"	"tau_def"	"m[1]"	"c[1]"	"m[2]"	"c[2]"	"m[3]"	"c[3]"	"m[4]"	"c[4]"	"m[5]"	"c[5]"
"P01"	"NDUFB8"	0.14605863474743	1.30368881696297	-0.0412962071326531	53.4355273756912	42.6245094457854	12.7852105864384	1e-04	1.31854901590918	0.0776459681248599	1.46822065285278	0.26255924178073	1.24088787940952	-0.0334370226652606	1.39128792029719	-0.113083393536598	1.36070519076634	-0.198726564635168
"P01"	"CYB"	0.0485311425053359	1.17945408261007	-0.0549735390869667	68.8531351776329	54.0111200813686	15.7364760178538	1e-04	1.1020278527147	0.0664926509444349	1.3258114945103	-0.20492263891813	1.16081164778772	-0.0862590322998033	1.2587878836768	-0.267937124631378	1.29580690851906	-0.0938953588998148
"P01"	"MTCO1"	0.185905855160539	1.90629745288658	0.122239181936901	44.7033061696037	49.1960162932728	6.69908575786645	1e-04	1.87086653459172	0.065112210469416	2.13579879364518	0.0482792958306735	2.00228460889313	0.311862691192086	1.83412762925547	-0.0560984911142919	1.80974283390007	0.106591801015325
"P02"	"NDUFB8"	0.313384107680121	1.23024601848005	-0.123580027927539	41.0278310686173	55.0114963315085	13.2074687702265	1e-04	1.22502284788206	0.0404092155027543	1.1200674320422	-0.0842636370703394	0.985482760404863	-0.0966699991692403	1.34993064042073	-0.2781282236025	1.00108753552146	-0.423237426281564
"P02"	"CYB"	0.0964302284818482	1.06310458872805	-0.0746593717409959	58.4250000709638	50.1555628918565	14.9104008327926	1e-04	0.993831543102469	0.0680683114604424	0.877135209896668	-0.334059249044428	1.19295693449606	-0.170562122145111	1.10430888402938	-0.0184671853339693	0.872693867755944	-0.206460435940378
"P02"	"MTCO1"	0.278427333337437	1.71924895943845	0.10416049509225	46.5197028394537	39.3267162371983	6.4456929823831	1e-04	1.55213871911713	0.184418436337063	1.85138951809237	-0.0607094816992152	1.68051843531827	0.0942882944500004	1.56667658405735	0.153201604966113	1.53495381403237	0.105935013619754
"P03"	"NDUFB8"	0.0552825333100581	1.31171929090299	-0.156758581895614	54.8335255797894	49.9669637459286	13.2224120696051	1e-04	1.19641416347374	-0.236196338826047	1.41233301543039	-0.0596406539841255	1.04089576983262	0.203245643540437	1.34974447760133	0.0494601123800062	1.62887039031544	-0.118653835338219
"P03"	"CYB"	0.0153431455847125	1.10745681559111	-0.0266264617189784	62.3703706178071	56.9720483199658	13.1316350351533	1e-04	1.11239643424919	-0.117288457074771	1.17122769089865	-0.105288475830485	0.917589241231178	0.254335107811286	0.933223451634528	-0.229000718918948	1.2389149308111	-0.173577560937779
"P03"	"MTCO1"	0.0437531134945846	1.82188968292356	0.112161909062831	41.4232100032634	44.0780820164054	6.4030877655251	1e-04	1.69338836348773	-0.251745246498121	1.92507011646496	0.269095443277621	1.85735186403153	0.0841358035056636	1.75780242691987	-0.259470825750944	1.93212436838271	0.219081994665579
"P04"	"NDUFB8"	0.00798912199302146	1.21865555888848	-0.141598636075565	44.1609000290111	45.3991159143262	13.482359467317	1e-04	1.03691034218806	-0.0216428800966178	1.44643058020046	-0.353249142012721	1.21064498525171	-0.0557045995528596	1.09335248213465	-0.21684440981844	1.25552294100441	-0.103106871132155
"P04"	"CYB"	0.00777570702806443	1.1413265892228	-0.131401041632344	41.4331830825555	54.949662617316	14.0106998477097	1e-04	1.00833509287762	-0.0403123693816224	1.1876655671619	-0.13214874860657	1.42854524525745	0.160554405299993	0.915225812128823	-0.273559974023137	0.892402201387901	-0.0627366443761749
"P04"	"MTCO1"	0.0109316043584723	1.80798946121746	0.165358445226986	42.5347836897679	51.8481366521817	6.11285889778488	1e-04	1.60787944371747	0.146927924562616	1.99244096379424	0.142956235265755	1.90387496173298	0.231679259204328	1.79623612812219	-0.118585779696164	1.68719924188131	0.292497791847215
"P05"	"NDUFB8"	0.190174340286519	1.26975514355056	-0.194144214226417	50.4614312975908	55.4485263096532	14.9789313254215	1e-04	1.21078083229572	-0.11658681623553	1.37076063238087	0.0124249220030203	1.44687374716578	-0.159929891549213	1.3864957050359	-0.072071573858645	1.21745862595257	-0.132787942964148
"P05"	"CYB"	0.117443852692732	1.05676414409223	-0.0606772221231083	49.8548450465347	39.5317808563623	15.2552096451839	1e-04	0.775849516909331	-0.165100225785234	1.02576416325281	-0.101211926689467	1.15201592475942	-0.129677065337665	1.05643998149092	-0.221378070686975	1.05926799141849	0.174076005855117
"P05"	"MTCO1"	0.14496019714226	2.02563164623032	0.166870391916281	50.9643313595469	59.0162923939274	6.58773550028815	1e-04	1.99899054431266	0.224052106708651	1.92899996005618	0.2210887210999	1.99795666010599	-0.109750354413494	2.08902108170448	0.156333803513535	2.03892658652063	0.0723565940992982
"P06"	"NDUFB8"	0.263803955619283	1.27094926990473	-0.0854877703094952	47.6158684635152	46.3615768966838	14.9157804882747	1e-04	1.66583471315406	-0.0378200113651928	1.2700101285905	-0.428841421441122	1.2214123300305	0.132181301165768	1.41006177784056	-0.256637753222266	1.38259486626215	-0.185589221266228
"P06"	"CYB"	0.125287655650064	1.09073347324576	-0.0650432328365851	58.1059266712333	51.9307741517371	14.1465388823931	1e-04	0.932079098551915	-0.159793564007718	1.2019275335948	-0.193463959491967	1.00407719709677	-0.183288248677417	1.16164756883686	0.112862409178961	1.28317579703244	-0.21826563041179
"P06"	"MTCO1"	0.308173998444822	1.77304035080528	0.165006951919525	52.5915356814911	56.4498662001634	6.72121061714648	1e-04	1.85575824523168	0.129129061368064	1.85831027830556	-0.00453611576943158	1.42909030042337	-0.0439384041533226	1.74305195907892	0.380282617775551	1.91747640969283	0.0526889434652852
"P07"	"NDUFB8"	0.176081652611416	1.09656713124536	-0.151750518446286	57.7438164328877	50.3845929006767	15.1783784679497	1e-04	0.928885351418073	-0.339025478847891	1.19062554117948	-0.179196833286181	1.46036650903705	-0.322212145141073	1.03844375682876	-0.158238653138748	1.04736553955932	-0.531364904511639
"P07"	"CYB"	0.167669781284302	1.0121376333084	-0.0155891978987065	59.5605484165864	46.0604710040585	15.027704947522	1e-04	0.976029040700346	0.124435357121551	1.14891873570534	0.0850325515596657	0.751897348056304	-0.158119212603008	0.901766919799527	-0.030103572607225	1.16715766348341	0.0801304264448373
"P07"	"MTCO1"	0.295953532885785	1.83148624190883	0.0614021543556063	38.7572167493903	53.4775155214655	6.9610697789943	1e-04	1.79409313714817	-0.0077008281882488	2.10448806783571	0.146993617628658	1.74997156092275	0.167541855407423	2.03272221233686	-0.140863402753931	1.7070534500632	-0.170647266366976
"P09"	"NDUFB8"	0.0717599368314775	1.16114254075671	-0.10263335294909	43.6174216752121	53.0023556758841	15.4731951049652	1e-04	1.22884859566891	0.212611245397683	1.18840864884832	-0.0110802557001876	1.2336677830272	-0.0584899095076056	1.19288308453244	-0.00477828717004922	1.2781413355158	0.171269033319305
"P09"	"CYB"	0.0493931668836502	0.99075504166654	-0.0866159990968868	54.0638850140754	49.1195175766798	14.4228610117365	1e-04	0.905891159227073	-0.169512174066267	0.822103851712286	-0.198340242554544	0.894700259363193	-0.00334099967878219	1.05331176653781	0.0623920321236579	0.962463716658809	-0.0753615214277196
"P09"	"MTCO1"	0.0636525778632264	1.76836511486735	0.122675368658028	33.3187223688391	43.7687781711523	6.08674054746207	1e-04	1.89368051754179	0.174648123889928	1.72497957369497	-0.0994203617688026	1.93541077929055	-0.152894236835168	1.72696938327822	-0.0365811085085146	1.80153037402849	0.193430067424644
"P10"	"NDUFB8"	0.151204744994601	1.22137445119351	-0.0540206793552533	49.7313473024759	56.0737664590562	14.5793680879793	1e-04	1.41498650648465	-0.33926687484404	1.1512763601531	-0.183899002699132	1.27741994661576	-0.116047468206861	1.02307420790553	-0.0734806420655946	1.17255570124884	-0.180702045934379
"P10"	"CYB"	0.0774098554963345	1.04064084003043	-0.0861425416546334	44.5532538990145	53.7010237952646	15.2321538537255	1e-04	0.989724720389584	-0.238587556266054	0.783389074439097	-0.30247393754807	1.05948582055271	-0.0996620127531499	0.970313207360671	-0.0233451173479904	1.04874980068993	0.0094004887199079
"P10"	"MTCO1"	0.14664111399635	1.69997945637869	0.0515669220449976	39.3407038011417	44.1760411102763	6.9918955388429	1e-04	1.96321926760996	0.249461309018178	1.54482837418765	0.00268559204025491	1.59776214441976	0.283166037395978	1.72361384169061	0.201004342114175	1.55173219752564	0.104651234239047
"P11"	"NDUFB8"	0.0114015377760131	1.1135686663979	-0.032999138658456	50.3193127410904	51.1935543388107	16.0779823571791	1e-04	0.886218386259215	-0.145289028836231	1.4169907261257	-0.0507079344710499	1.11143803348514	-0.225871971081248	1.31943403643866	0.0431087353194767	1.15259301133822	-0.192972657597471
