"fibreID"	"sampleID"	"Channel"	"Value"	"sbjType"	"obsID"	"trueValue"	"deficientStatus"	"validationSet"
1	"C01"	"VDAC"	1.67872703638062	"control"	"C01_1"	1.67872703638062	0	0
1	"C01"	"MTCO1"	3.26559036232978	"control"	"C01_1"	2.60585925999469	0	0
2	"C01"	"VDAC"	0.731107942615787	"control"	"C01_2"	0.731107942615787	0	0
2	"C01"	"MTCO1"	1.53690415098942	"control"	"C01_2"	1.62244814907611	0	0
3	"C01"	"VDAC"	1.6460025816157	"control"	"C01_3"	1.6460025816157	0	0
3	"C01"	"MTCO1"	2.95883717951211	"control"	"C01_3"	2.75388032390667	0	0
4	"C01"	"VDAC"	1.0784677225175	"control"	"C01_4"	1.0784677225175	0	0
4	"C01"	"MTCO1"	2.15197692781156	"control"	"C01_4"	2.06165610924988	0	0
5	"C01"	"VDAC"	0.762929629648445	"control"	"C01_5"	0.762929629648445	0	0
5	"C01"	"MTCO1"	1.56900347484745	"control"	"C01_5"	1.60278073149557	0	0
6	"C01"	"VDAC"	0.989541193613748	"control"	"C01_6"	0.989541193613748	0	1
6	"C01"	"MTCO1"	1.95195090586993	"control"	"C01_6"	1.84094638007994	0	1
7	"C01"	"VDAC"	0.563368137344235	"control"	"C01_7"	0.563368137344235	0	0
7	"C01"	"MTCO1"	1.30725339259677	"control"	"C01_7"	1.1643836021049	0	0
8	"C01"	"VDAC"	0.998752769192794	"control"	"C01_8"	0.998752769192794	0	0
8	"C01"	"MTCO1"	2.34731693097534	"control"	"C01_8"	2.2586554378196	0	0
9	"C01"	"VDAC"	1.08964361878145	"control"	"C01_9"	1.08964361878145	0	0
9	"C01"	"MTCO1"	2.41619268130298	"control"	"C01_9"	2.17920607180122	0	0
10	"C01"	"VDAC"	0.822080864024548	"control"	"C01_10"	0.822080864024548	0	0
10	"C01"	"MTCO1"	1.42686845622073	"control"	"C01_10"	1.71139815836147	0	0
11	"C01"	"VDAC"	0.866447381598884	"control"	"C01_11"	0.866447381598884	0	0
11	"C01"	"MTCO1"	1.73385226934065	"control"	"C01_11"	1.60843490338866	0	0
12	"C01"	"VDAC"	1.01160091167848	"control"	"C01_12"	1.01160091167848	0	0
12	"C01"	"MTCO1"	2.48995576620602	"control"	"C01_12"	1.9743246610628	0	0
13	"C01"	"VDAC"	1.06733098940665	"control"	"C01_13"	1.06733098940665	0	0
13	"C01"	"MTCO1"	1.92914835187605	"control"	"C01_13"	1.83171152017711	0	0
14	"C01"	"VDAC"	1.11506740950731	"control"	"C01_14"	1.11506740950731	0	0
14	"C01"	"MTCO1"	2.25760217365832	"control"	"C01_14"	1.97458366495567	0	0
15	"C01"	"VDAC"	0.842766814973108	"control"	"C01_15"	0.842766814973108	0	0
15	"C01"	"MTCO1"	1.91495400990483	"control"	"C01_15"	1.72750220240145	0	0
16	"C01"	"VDAC"	1.16245093807759	"control"	"C01_16"	1.16245093807759	0	0
16	"C01"	"MTCO1"	2.06399443469782	"control"	"C01_16"	2.12903095993204	0	0
17	"C01"	"VDAC"	1.08898139547597	"control"	"C01_17"	1.08898139547597	0	1
17	"C01"	"MTCO1"	1.67225530158229	"control"	"C01_17"	2.21690886843705	0	1
18	"C01"	"VDAC"	0.938717767689825	"control"	"C01_18"	0.938717767689825	0	0
18	"C01"	"MTCO1"	1.75559372887884	"control"	"C01_18"	1.68007890946903	0	0
19	"C01"	"VDAC"	0.721699082358016	"control"	"C01_19"	0.721699082358016	0	0
19	"C01"	"MTCO1"	1.40790338067113	"control"	"C01_19"	1.50068411231519	0	0
20	"C01"	"VDAC"	0.671598844310178	"control"	"C01_20"	0.671598844310178	0	0
20	"C01"	"MTCO1"	1.30031231181426	"control"	"C01_20"	1.58590741497629	0	0
21	"C01"	"VDAC"	1.10172271095207	"control"	"C01_21"	1.10172271095207	0	0
21	"C01"	"MTCO1"	2.21853989752496	"control"	"C01_21"	2.07710235929973	0	0
